restaurant_id,restaurant_name,online_order,table_booking,rating,total_votes,location,restaurant_type,dishes_liked,cuisines,cost_for_two,service_type,city_category
132,Parjanya Chat Zone,No,No,3.3,17.0,Banashankari,Quick Bites,Unknown,Street Food,200.0,Delivery,Banashankari
136,Ruchi Maayaka,No,No,3.3,8.0,Banashankari,Delivery,Unknown,South Indian,100.0,Delivery,Banashankari
138,Sri Basaveshwar Jolada Rotti Oota,No,No,0.0,0.0,Banashankari,Quick Bites,Unknown,South Indian,150.0,Delivery,Banashankari
142,Swathi Cool Point,No,No,0.0,0.0,Banashankari,Beverage Shop,Unknown,Beverages,200.0,Delivery,Banashankari
144,Amma  Manae,No,No,0.0,0.0,Banashankari,Takeaway,Unknown,South Indian,400.0,Delivery,Banashankari
145,Sri Sai Tiffannies,No,No,0.0,0.0,Banashankari,Quick Bites,Unknown,South Indian,150.0,Delivery,Banashankari
147,Sri Murari Family Restaurant,No,No,0.0,0.0,Banashankari,Quick Bites,Unknown,Biryani,250.0,Delivery,Banashankari
148,Aramane Donne Biriyani,No,No,0.0,0.0,Banashankari,Quick Bites,Unknown,South Indian,150.0,Delivery,Banashankari
149,Darkolates,No,No,0.0,0.0,Banashankari,Confectionery,Unknown,Desserts,200.0,Delivery,Banashankari
151,Gawdaru Mane Beriyani,No,No,0.0,0.0,Banashankari,Quick Bites,Unknown,South Indian,300.0,Delivery,Banashankari
153,New Indraprasta,No,No,0.0,0.0,Banashankari,Quick Bites,Unknown,South Indian,150.0,Delivery,Banashankari
154,Anna Kuteera,Yes,No,4.0,771.0,Banashankari,Casual Dining,Panner Tikka,South Indian,450.0,Delivery,Banashankari
156,Vijayalakshmi,Yes,No,3.9,47.0,Basavanagudi,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
158,Udupi Upahar,Yes,No,3.8,58.0,Banashankari,Quick Bites,Unknown,South Indian,300.0,Delivery,Banashankari
160,Roll N Rock,Yes,No,3.8,124.0,Kumaraswamy Layout,Quick Bites,Rolls,Chinese,400.0,Delivery,Banashankari
164,Roll Over,Yes,No,4.1,438.0,Jayanagar,Dessert Parlor,Rolls,Desserts,500.0,Delivery,Banashankari
166,Lassi Shop,Yes,No,3.9,169.0,Kumaraswamy Layout,Beverage Shop,Unknown,Beverages,150.0,Delivery,Banashankari
168,Wahab,Yes,No,3.7,97.0,Jayanagar,Quick Bites,Chicken Biryani,North Indian,350.0,Delivery,Banashankari
171,Canton,Yes,No,3.6,195.0,Jayanagar,Casual Dining,Roast Pork,Chinese,800.0,Delivery,Banashankari
176,Lassi Corner,Yes,No,3.7,107.0,Basavanagudi,Beverage Shop,Lassi,Beverages,150.0,Delivery,Banashankari
177,Sagar Deluxe,Yes,No,3.2,167.0,Kumaraswamy Layout,Quick Bites,Coffee,South Indian,300.0,Delivery,Banashankari
179,Vegetalia,Yes,No,3.7,27.0,Banashankari,Takeaway,Unknown,Italian,400.0,Delivery,Banashankari
180,Aramane Donne Biryani,Yes,No,3.5,57.0,Banashankari,Quick Bites,Unknown,Biryani,200.0,Delivery,Banashankari
183,Energy Addaa,Yes,No,4.2,64.0,Basavanagudi,Quick Bites,Pizza,Salad,500.0,Delivery,Banashankari
184,Bhattara Bhojana,Yes,No,3.6,66.0,Banashankari,Quick Bites,Unknown,South Indian,150.0,Delivery,Banashankari
189,Grazers,Yes,Yes,3.9,291.0,Jayanagar,Cafe,Burgers,Cafe,650.0,Delivery,Banashankari
193,Calcutta Cafe,Yes,No,3.5,45.0,Kumaraswamy Layout,Quick Bites,Unknown,Bengali,350.0,Delivery,Banashankari
194,Old Mumbai Ice Cream,Yes,No,3.9,38.0,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150.0,Delivery,Banashankari
195,Donne Biriyani House,Yes,No,3.9,441.0,Banashankari,Quick Bites,Biryani,South Indian,400.0,Delivery,Banashankari
199,Just Shawarma,Yes,No,3.9,160.0,Kumaraswamy Layout,Quick Bites,Whole Meat Shawarma,Arabian,300.0,Delivery,Banashankari
200,Mini Punjabi Dhaba,Yes,No,4.2,287.0,Banashankari,Quick Bites,Panneer Butter Masala,North Indian,350.0,Delivery,Banashankari
201,Mulabagilu Dosa,Yes,No,3.6,11.0,Basavanagudi,Quick Bites,Unknown,South Indian,100.0,Delivery,Banashankari
204,Olive  Era,Yes,No,3.3,511.0,Kumaraswamy Layout,Casual Dining,Shawarma,BBQ,550.0,Delivery,Banashankari
205,Udupi Ruchi,Yes,No,3.9,57.0,Banashankari,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
207,Gama Gama,Yes,No,3.9,264.0,Banashankari,Quick Bites,Jowar Roti,South Indian,200.0,Delivery,Banashankari
209,Pizza Hut,Yes,No,3.8,693.0,Banashankari,Casual Dining,Supreme Pizza,Pizza,750.0,Delivery,Banashankari
210,Mangalore Pearl,Yes,No,3.8,242.0,Jayanagar,Casual Dining,Neer Dosa,Mangalorean,650.0,Delivery,Banashankari
213,Cool Corner,Yes,No,4.2,191.0,Basavanagudi,Quick Bites,Masala Dosa,Street Food,250.0,Delivery,Banashankari
214,Pizza Mane,Yes,No,3.5,32.0,Banashankari,Quick Bites,French Fries,Pizza,150.0,Delivery,Banashankari
217,Chutney Chang,Yes,Yes,4.1,2339.0,Jayanagar,Casual Dining,Veg Momos,North Indian,1500.0,Delivery,Banashankari
218,Mystique Palate,Yes,No,4.1,337.0,Jayanagar,Quick Bites,Noodles,Chinese,300.0,Delivery,Banashankari
219,Thamboola,Yes,No,3.9,135.0,Banashankari,Casual Dining,Spring Roll,North Indian,800.0,Delivery,Banashankari
220,Castle Rock,Yes,No,3.6,172.0,Uttarahalli,Casual Dining,Biryani,North Indian,700.0,Delivery,Banashankari
223,C Corner,Yes,No,3.2,36.0,Kumaraswamy Layout,Quick Bites,Unknown,Fast Food,200.0,Delivery,Banashankari
226,Inchara Restaurant,Yes,No,0.0,0.0,Basavanagudi,Quick Bites,Unknown,North Indian,300.0,Delivery,Banashankari
229,Stoned Monkey,Yes,No,4.3,860.0,Banashankari,Dessert Parlor,Nachos,Desserts,500.0,Delivery,Banashankari
230,Central Jail Restaurant,Yes,No,3.8,412.0,Jayanagar,Casual Dining,Lime Soda,Andhra,700.0,Delivery,Banashankari
231,Bella,Yes,Yes,3.9,142.0,Jayanagar,Casual Dining,Murgh Ghee Roast,Mangalorean,1000.0,Delivery,Banashankari
233,New Prashanth Hotel,Yes,No,3.6,143.0,Jayanagar,Casual Dining,Ragi Mudde,South Indian,750.0,Delivery,Banashankari
236,Karma Kaapi,Yes,No,4.4,181.0,Jayanagar,Beverage Shop,Pasta,Beverages,250.0,Delivery,Banashankari
238,Pizza Stop,Yes,No,3.8,164.0,Basavanagudi,Quick Bites,Pizza,Pizza,600.0,Delivery,Banashankari
239,Biggies Burger n More,Yes,No,3.6,58.0,Kumaraswamy Layout,Quick Bites,Burgers,Cafe,650.0,Delivery,Banashankari
242,Sugar Stars Co,No,No,0.0,0.0,Basavanagudi,Bakery,Unknown,Bakery,300.0,Delivery,Banashankari
244,Kadamba Classic,No,No,3.6,16.0,Mysore Road,Quick Bites,Unknown,South Indian,300.0,Delivery,Banashankari
245,RS Shiv Sagar,No,No,3.7,217.0,Basavanagudi,Casual Dining,Chaat,North Indian,450.0,Delivery,Banashankari
246,Kholi Mane,No,No,3.6,46.0,Basavanagudi,Quick Bites,Unknown,Andhra,450.0,Delivery,Banashankari
250,Sri Udupi Veg,No,No,3.3,4.0,Jayanagar,Quick Bites,Unknown,South Indian,250.0,Delivery,Banashankari
252,Aahar Cafe,No,No,0.0,0.0,Basavanagudi,Quick Bites,Unknown,South Indian,100.0,Delivery,Banashankari
254,New Sri Udupi Restaurant,No,No,0.0,0.0,Jayanagar,Quick Bites,Unknown,North Indian,200.0,Delivery,Banashankari
256,Hotel Biriyani Counter,No,No,0.0,0.0,Vijay Nagar,Quick Bites,Unknown,North Indian,350.0,Delivery,Banashankari
257,Matru Sagar,Yes,No,3.7,31.0,Mysore Road,Quick Bites,Unknown,South Indian,300.0,Delivery,Banashankari
258,Ugadi,Yes,No,2.9,177.0,Jayanagar,Casual Dining,Prawn Biryani,North Indian,700.0,Unknown,Jayanagar
262,Subway,Yes,No,3.7,136.0,Banashankari,Quick Bites,Veggie Delight,Salad,600.0,Delivery,Banashankari
269,Green Gardenia,Yes,No,3.8,160.0,Banashankari,Casual Dining,Masala Papad,North Indian,700.0,Delivery,Banashankari
270,J Spice,Yes,No,3.8,59.0,Banashankari,Casual Dining,Stuffed Mushroom,North Indian,750.0,Delivery,Banashankari
271,Karavali Family Restaurant,Yes,No,3.5,90.0,Jayanagar,Casual Dining,Unknown,Seafood,500.0,Delivery,Banashankari
273,Hatti Kaapi,Yes,No,4.0,89.0,Jayanagar,Quick Bites,Filter Coffee,South Indian,200.0,Delivery,Banashankari
274,Kolkata Kathi Rolls,Yes,No,3.6,18.0,Banashankari,Quick Bites,Unknown,Fast Food,250.0,Delivery,Banashankari
275,Upahara Darshini,Yes,No,3.9,40.0,Basavanagudi,Casual Dining,Masala Dosa,North Indian,600.0,Delivery,Banashankari
278,Shri Vinayaka Ice N Juice,Yes,No,3.2,11.0,Basavanagudi,Quick Bites,Unknown,Beverages,150.0,Delivery,Banashankari
280,Ibaco,Yes,No,3.9,33.0,Jayanagar,Dessert Parlor,Unknown,Desserts,300.0,Delivery,Banashankari
282,Samskruti  Sanman Gardenia,Yes,No,4.1,139.0,Jayanagar,Casual Dining,Roti,North Indian,550.0,Delivery,Banashankari
283,Bendakaluru Bytes,Yes,No,3.2,154.0,Vijay Nagar,Quick Bites,Unknown,Fast Food,300.0,Delivery,Banashankari
284,Cocoa Bakes,Yes,No,3.6,14.0,Banashankari,Bakery,Unknown,Bakery,350.0,Delivery,Banashankari
286,New Prashanth Hotel,Yes,No,3.9,388.0,Banashankari,Casual Dining,Chicken Biryani,Biryani,650.0,Delivery,Banashankari
287,SSV Upahar,Yes,No,0.0,0.0,Jayanagar,Quick Bites,Unknown,South Indian,300.0,Delivery,Banashankari
294,Iceberg Icecreams,Yes,No,4.0,43.0,Basavanagudi,Dessert Parlor,Unknown,Desserts,250.0,Delivery,Banashankari
296,Chung Wah,Yes,No,3.7,323.0,Jayanagar,Casual Dining,Noodles,Chinese,850.0,Delivery,Banashankari
297,Shanthi Sagar,Yes,No,3.1,28.0,Uttarahalli,Casual Dining,Unknown,South Indian,400.0,Delivery,Banashankari
298,Millet Mama,Yes,No,3.9,18.0,Basavanagudi,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
299,Bangarpet Chat Express,Yes,No,3.3,6.0,Basavanagudi,Quick Bites,Unknown,Street Food,100.0,Delivery,Banashankari
300,South Cool Point,Yes,No,0.0,0.0,Basavanagudi,Dessert Parlor,Unknown,Beverages,100.0,Delivery,Banashankari
301,Prems Graama Bhojanam,Yes,No,4.3,322.0,Jayanagar,Casual Dining,Veg Thali,South Indian,400.0,Delivery,Banashankari
303,Kamat Bugle Rock,Yes,No,3.9,543.0,Basavanagudi,Quick Bites,Jowar Roti,South Indian,300.0,Delivery,Banashankari
304,Woodee Pizza,Yes,No,3.7,180.0,Banashankari,Cafe,Pizza,Cafe,500.0,Delivery,Banashankari
305,Puliyogare Point,Yes,No,4.2,444.0,Basavanagudi,Quick Bites,Sweet Pongal,South Indian,100.0,Delivery,Banashankari
306,Bangalore Agarwal Bhavan,Yes,No,3.9,134.0,Jayanagar,Quick Bites,Paratha,Street Food,400.0,Delivery,Banashankari
307,Rustic Stove,Yes,No,3.8,577.0,Jayanagar,Casual Dining,Vegetable Biryani,North Indian,900.0,Delivery,Banashankari
309,De Thaali,Yes,No,3.9,144.0,Jayanagar,Casual Dining,Malai Kofta,North Indian,550.0,Delivery,Banashankari
310,Spice Elephant,Yes,No,4.1,787.0,Banashankari,Casual Dining,Momos,Chinese,800.0,Delivery,Banashankari
311,Just Thindi,Yes,No,3.6,16.0,Basavanagudi,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
312,Matru Sagar,Yes,No,3.6,84.0,Banashankari,Quick Bites,Coffee,South Indian,250.0,Delivery,Banashankari
315,Desi Dawat,Yes,No,3.7,248.0,Kumaraswamy Layout,Quick Bites,Tandoori Chicken,North Indian,400.0,Delivery,Banashankari
316,Cafe Aira,Yes,No,4.1,216.0,Basavanagudi,Cafe,Pasta,Cafe,500.0,Delivery,Banashankari
317,Donne Biriyani combos,Yes,No,0.0,0.0,Kumaraswamy Layout,Casual Dining,Unknown,Biryani,400.0,Delivery,Banashankari
318,Penthouse Cafe,Yes,No,4.0,324.0,Banashankari,Cafe,Pizza,Cafe,700.0,Delivery,Banashankari
319,Mast Punjabi,Yes,No,2.6,231.0,Kumaraswamy Layout,Quick Bites,Aloo Paratha,North Indian,400.0,Unknown,Kumaraswamy Layout
324,Cafe Zone,Yes,No,3.9,149.0,Kumaraswamy Layout,Quick Bites,Unknown,Fast Food,300.0,Delivery,Banashankari
326,Firangi Bake,Yes,No,4.0,53.0,Rajarajeshwari Nagar,Delivery,Lasagne,Mexican,600.0,Delivery,Banashankari
328,Hara Fine Dine,Yes,Yes,4.0,633.0,Banashankari,Casual Dining,Hara Bhara Kabab,North Indian,800.0,Delivery,Banashankari
329,Chocoberry,Yes,No,3.5,56.0,Jayanagar,Dessert Parlor,Waffles,Ice Cream,400.0,Delivery,Banashankari
332,Chai Mane,Yes,No,3.6,20.0,Basavanagudi,Quick Bites,Unknown,Juices,150.0,Delivery,Banashankari
333,SLV Upachar,Yes,No,3.1,14.0,Kumaraswamy Layout,Quick Bites,Unknown,South Indian,250.0,Delivery,Banashankari
335,Cross Road Cafe,Yes,No,3.9,91.0,Jayanagar,Cafe,Momos,Cafe,300.0,Delivery,Banashankari
337,Seven Star,Yes,No,3.4,7.0,Banashankari,Quick Bites,Unknown,North Indian,250.0,Delivery,Banashankari
338,Stop N Joy,Yes,No,3.8,28.0,Banashankari,Quick Bites,Unknown,Fast Food,150.0,Delivery,Banashankari
339,Sri Yaksha Shiv Sagar,Yes,No,3.6,24.0,Banashankari,Casual Dining,Unknown,North Indian,600.0,Delivery,Banashankari
340,Fudge,Yes,No,3.8,36.0,Basavanagudi,Dessert Parlor,Unknown,Desserts,200.0,Delivery,Banashankari
341,Just Bunny,Yes,No,3.5,11.0,Jayanagar,Quick Bites,Unknown,Fast Food,200.0,Delivery,Banashankari
342,Bakers Town,Yes,No,3.8,77.0,Kumaraswamy Layout,Cafe,Freak Shake,Cafe,650.0,Delivery,Banashankari
344,Kaapi Kendra,Yes,No,3.7,14.0,Jayanagar,Quick Bites,Unknown,South Indian,100.0,Delivery,Banashankari
347,Chai Kraft,Yes,No,4.1,30.0,Jayanagar,Beverage Shop,Masala Chai,Beverages,100.0,Delivery,Banashankari
349,South Point Pub,Yes,No,3.4,11.0,Basavanagudi,Bar,Unknown,North Indian,800.0,Delivery,Banashankari
356,Shreyas Upahar  Burger Point,Yes,No,3.0,7.0,Basavanagudi,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
361,Mylari Biryani Family Restaurant,Yes,No,3.7,73.0,Banashankari,Quick Bites,Unknown,Biryani,400.0,Delivery,Banashankari
365,Namma Biryani,Yes,No,3.6,24.0,Banashankari,Quick Bites,Unknown,Biryani,250.0,Delivery,Banashankari
368,As On Fire,Yes,No,3.5,41.0,South Bangalore,Food Truck,Pizza,Pizza,400.0,Delivery,Banashankari
371,Lassi Shop,Yes,No,3.5,45.0,Banashankari,Beverage Shop,Unknown,Beverages,300.0,Delivery,Banashankari
373,Desi Cream Junction,Yes,Yes,3.7,36.0,Jayanagar,Casual Dining,Vegetarian,Chinese,650.0,Delivery,Banashankari
374,Drunken Monkey,Yes,No,3.8,52.0,Kumaraswamy Layout,Beverage Shop,Unknown,Beverages,400.0,Delivery,Banashankari
377,Bangalore Donne Biriyani,Yes,No,3.2,4.0,Kumaraswamy Layout,Quick Bites,Unknown,South Indian,300.0,Delivery,Banashankari
379,Keventers,Yes,No,3.7,54.0,Banashankari,Beverage Shop,Unknown,Desserts,400.0,Delivery,Banashankari
380,Sree Sagar,Yes,No,0.0,0.0,Banashankari,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
382,Shawarma Inc,Yes,No,3.1,31.0,Banashankari,Takeaway,Unknown,Rolls,250.0,Delivery,Banashankari
384,AM WOW,Yes,No,3.4,6.0,Jayanagar,Beverage Shop,Unknown,Beverages,100.0,Delivery,Banashankari
387,Eat Repeat,Yes,No,3.9,101.0,Basavanagudi,Quick Bites,Sweet Pongal,South Indian,150.0,Delivery,Banashankari
388,Salut,Yes,Yes,4.1,442.0,Jayanagar,Pub,Pesto Pizza,Continental,1200.0,Delivery,Banashankari
389,Nammura Donne Biriyani,Yes,No,3.5,155.0,Basavanagudi,Quick Bites,Unknown,Biryani,400.0,Delivery,Banashankari
390,Lassi Stop,Yes,No,3.4,12.0,Banashankari,Beverage Shop,Unknown,Beverages,150.0,Delivery,Banashankari
392,Sri Sai Cafe,Yes,No,3.5,10.0,Basavanagudi,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
394,Utsav Restaurant,Yes,No,3.8,61.0,Banashankari,Quick Bites,Unknown,North Indian,300.0,Delivery,Banashankari
399,Chats Point,Yes,No,3.4,8.0,Basavanagudi,Quick Bites,Unknown,Fast Food,150.0,Delivery,Banashankari
401,Swarga Ruchi,Yes,No,3.3,10.0,Basavanagudi,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
402,Kolkata King,Yes,No,3.4,6.0,Basavanagudi,Quick Bites,Unknown,Fast Food,300.0,Delivery,Banashankari
404,New Rajadhani Spicy,Yes,No,3.7,67.0,Kumaraswamy Layout,Casual Dining,Unknown,North Indian,700.0,Delivery,Banashankari
406,VEGeatz,Yes,No,3.4,19.0,Banashankari,Quick Bites,Unknown,South Indian,200.0,Delivery,Banashankari
410,Chungs Chinese Corner,Yes,No,3.9,221.0,Jayanagar,Casual Dining,Manchow Soup,Chinese,700.0,Delivery,Banashankari
414,Pure  Natural,Yes,No,3.9,211.0,Jayanagar,Casual Dining,Salads,Fast Food,500.0,Delivery,Banashankari
415,Maiyas,Yes,No,4.0,1778.0,Jayanagar,Quick Bites,Coffee,North Indian,200.0,Delivery,Banashankari
416,Sip n Dine,Yes,No,3.6,218.0,Vijay Nagar,Casual Dining,Veg Jaipuri,North Indian,800.0,Delivery,Banashankari
417,Cafe Mondo,Yes,No,3.7,514.0,Basavanagudi,Cafe,Pizza,Cafe,600.0,Delivery,Banashankari
418,Jalpaan,Yes,Yes,4.0,866.0,Jayanagar,Casual Dining,Mocktails,North Indian,900.0,Delivery,Banashankari
419,Katarias Pakwan,Yes,No,3.2,96.0,Kumaraswamy Layout,Quick Bites,Paratha,North Indian,400.0,Unknown,Kumaraswamy Layout
421,Juicy Momos,Yes,No,3.5,80.0,Banashankari,Quick Bites,Rolls,Tibetan,250.0,Delivery,Banashankari
425,Swadesh Tadka,Yes,No,3.5,179.0,Banashankari,Casual Dining,Gulab Jamun,North Indian,600.0,Delivery,Banashankari
426,CaneOLa,Yes,No,3.8,61.0,Basavanagudi,Quick Bites,Sugarcane Juice,Juices,100.0,Delivery,Banashankari
427,New Biryani Mane,Yes,No,3.7,128.0,Uttarahalli,Casual Dining,Egg Biryani,North Indian,450.0,Delivery,Banashankari
428,Upahara Darshini,Yes,No,3.8,339.0,Jayanagar,Quick Bites,Rava Dosa,South Indian,400.0,Delivery,Banashankari
429,Karnataka Bhel House,Yes,No,4.1,449.0,Basavanagudi,Quick Bites,Masala Poori,Street Food,100.0,Delivery,Banashankari
432,Bunts Biriyani Palace,Yes,No,3.0,213.0,Banashankari,Quick Bites,Neer Dosa,North Indian,400.0,Unknown,Banashankari
434,Chai Point,Yes,No,3.2,208.0,Jayanagar,Beverage Shop,Ginger Chai,Tea,250.0,Unknown,Jayanagar
436,Janahaar,Yes,No,3.8,70.0,Banashankari,Quick Bites,Masala Dosa,South Indian,100.0,Delivery,Banashankari
437,Redberrys,Yes,No,4.0,219.0,Basavanagudi,Cafe,Pizza,Cafe,600.0,Delivery,Banashankari
438,Utsav,Yes,No,3.7,59.0,Banashankari,Quick Bites,Paratha,North Indian,200.0,Delivery,Banashankari
442,Dakshin Cafe,Yes,No,3.7,19.0,Kumaraswamy Layout,Quick Bites,Unknown,South Indian,100.0,Delivery,Banashankari
