order_id,restaurant_id,customer_id,order_date,order_value,delivery_time_mins,order_status,quantity
111,38717,6723,2023-12-29,923,62,Delivered,4
112,8183,326,2024-02-16,283,63,Delivered,3
114,11486,16392,2024-11-23,753,36,Delivered,4
115,52549,9582,2023-11-01,1285,54,Delivered,3
116,3931,825,2023-07-08,241,35,Cancelled,4
117,2250,11628,2023-10-26,1150,36,Delivered,1
118,41591,6503,2025-05-12,496,22,Cancelled,2
119,43601,12978,2024-05-13,1177,64,Delivered,3
120,14582,12978,2025-08-14,795,51,Delivered,3
121,25736,2411,2025-04-03,1176,54,Delivered,1
124,54408,9103,2024-09-10,1327,37,Delivered,1
126,21586,5529,2024-01-14,1432,41,Delivered,4
127,42791,13246,2024-02-20,760,48,Delivered,1
129,18960,4063,2025-04-17,891,30,Delivered,2
130,42255,4051,2024-09-17,266,47,Delivered,1
137,47833,15129,2023-05-01,1315,28,Delivered,3
139,33196,16684,2023-12-18,1454,56,Delayed,1
141,52411,6465,2024-06-25,821,38,Delivered,1
143,17559,5871,2024-09-13,527,42,Delivered,2
149,42752,5548,2024-03-29,566,26,Delivered,3
153,8713,11167,2024-08-11,367,37,Delivered,2
157,41219,8027,2024-07-28,996,22,Delayed,3
161,37097,19841,2024-06-14,1170,56,Delivered,1
164,22026,17687,2023-04-01,1168,69,Delivered,3
166,19812,17699,2023-10-02,919,57,Delivered,1
167,12697,12339,2024-04-16,847,46,Delivered,4
168,33701,10206,2024-07-02,391,37,Delivered,1
171,27663,2830,2023-10-19,1380,52,Delivered,2
172,53234,6061,2025-08-13,1356,55,Delivered,1
177,4654,14388,2025-05-31,416,23,Delivered,1
178,32353,10199,2025-07-28,201,24,Delivered,2
181,52885,3049,2023-11-02,438,28,Delivered,1
182,35125,19891,2025-08-06,576,27,Delivered,3
183,12208,9340,2023-07-19,1077,30,Delayed,1
184,3314,13408,2023-03-14,1126,51,Delivered,1
186,12794,17708,2024-02-05,1490,34,Delivered,3
188,48185,12111,2025-03-04,589,46,Delivered,1
190,37108,8571,2025-05-07,1307,49,Delivered,1
191,8332,1977,2023-12-30,873,64,Delivered,1
192,20602,17978,2023-04-23,1392,43,Delivered,2
193,34226,5566,2025-01-22,1124,55,Delivered,2
198,10501,8827,2023-07-23,1183,44,Delivered,3
200,23381,14197,2025-03-20,705,36,Delivered,3
202,27567,5854,2025-09-14,1107,59,Delivered,3
205,15301,3882,2023-08-20,679,52,Delivered,4
208,37370,14774,2025-02-04,844,64,Delivered,2
210,12061,8498,2023-01-21,1211,66,Delivered,4
211,33897,1442,2025-02-28,777,32,Delivered,3
212,20885,9967,2023-05-23,466,55,Delivered,3
216,15945,16654,2024-11-30,1465,34,Delivered,2
222,32253,15872,2023-12-16,1234,32,Delivered,1
223,27821,17015,2024-07-21,1287,65,Delivered,4
225,22621,17141,2023-05-10,635,42,Delivered,4
231,2514,5474,2023-09-24,1342,42,Delivered,3
232,26346,14468,2024-01-13,302,24,Delivered,4
233,53389,12573,2024-11-28,547,65,Cancelled,4
235,22413,8207,2023-09-14,662,48,Delivered,3
236,20480,3835,2025-02-02,1000,52,Delivered,1
237,5807,4157,2024-03-20,667,43,Delivered,1
238,49486,12036,2024-10-13,874,27,Delivered,2
239,27374,16552,2025-06-23,1358,26,Cancelled,2
240,2367,12247,2024-07-08,1479,44,Delivered,2
241,5660,15646,2023-01-29,1117,51,Delivered,2
242,26127,17125,2024-09-08,963,30,Delivered,1
247,18734,17963,2024-03-15,994,21,Delivered,2
248,54281,9964,2025-09-10,932,44,Delivered,4
250,26465,14540,2025-05-27,1435,27,Delayed,1
253,37651,9115,2024-04-09,356,69,Delayed,4
254,54767,16392,2024-08-02,1483,36,Delayed,1
255,23668,3303,2024-02-04,783,41,Delivered,3
256,30099,15638,2024-04-27,263,31,Delivered,2
265,45631,16371,2024-06-20,1350,47,Delivered,3
266,41331,17319,2023-12-18,467,39,Delivered,3
267,19106,15083,2024-12-18,1053,52,Cancelled,1
268,19177,7324,2025-07-22,543,42,Delivered,4
275,20457,15349,2025-05-19,475,56,Cancelled,4
281,36818,8610,2023-05-03,1216,21,Delivered,2
282,23119,991,2024-04-19,245,68,Delivered,3
284,49373,6781,2024-11-13,391,47,Delivered,1
285,27429,19693,2023-02-16,755,52,Delivered,3
286,7714,17985,2023-12-15,874,41,Cancelled,1
290,25229,5020,2024-04-15,525,67,Cancelled,1
291,9822,16124,2025-08-16,400,67,Delivered,3
294,17451,16968,2024-06-14,229,61,Delivered,1
295,53807,9146,2025-05-15,379,28,Cancelled,3
298,28308,7905,2023-03-11,859,40,Delivered,3
299,16730,14242,2023-11-19,1269,44,Delivered,4
300,24036,1199,2025-09-07,1137,61,Delivered,2
301,44189,4229,2024-02-04,1237,26,Delivered,3
306,1332,7170,2025-03-29,771,57,Delivered,1
307,20971,10741,2025-02-26,1008,20,Delivered,1
311,16743,19252,2024-08-06,1492,43,Delayed,2
314,9067,13374,2025-09-01,426,44,Delivered,3
319,37521,7901,2025-04-26,361,65,Delivered,2
320,42896,19325,2024-05-21,1410,50,Delivered,2
325,40784,16434,2023-05-05,815,37,Delivered,4
326,30822,3079,2024-06-06,741,63,Delayed,1
327,36898,8375,2024-03-15,1053,36,Delivered,4
333,28785,866,2024-05-10,258,27,Delivered,4
336,24821,10471,2023-09-17,1181,25,Cancelled,1
337,469,18802,2025-04-03,573,50,Delivered,3
341,54855,13834,2024-06-03,1202,27,Delivered,4
344,34583,7080,2023-03-23,992,62,Delivered,4
349,50962,8703,2023-05-28,1450,56,Delivered,1
351,41028,12795,2023-07-04,889,26,Delivered,1
352,9602,19896,2023-07-02,804,21,Delivered,4
353,48903,7,2023-09-12,242,37,Delivered,2
355,38963,4474,2024-01-31,931,29,Cancelled,3
359,28228,15123,2025-04-17,649,20,Delivered,3
360,9761,7000,2023-08-08,222,67,Delivered,2
362,36340,18669,2025-07-25,550,45,Delivered,2
365,51102,6286,2024-09-17,525,24,Cancelled,1
367,22802,19160,2023-12-07,1402,32,Delayed,4
368,25940,11309,2023-03-01,890,49,Delivered,3
370,55251,10998,2023-09-05,195,57,Delivered,1
371,27860,450,2023-04-10,1273,57,Delivered,2
377,12427,8737,2024-04-22,925,54,Delivered,2
378,14871,1457,2023-08-25,573,42,Delivered,4
379,37059,12039,2025-04-07,1164,30,Delivered,2
385,11286,5234,2024-01-18,1469,31,Cancelled,1
386,15171,19895,2024-11-28,1360,20,Delayed,3
390,22303,17700,2023-10-14,845,56,Delivered,3
392,39874,4736,2023-12-24,1310,50,Delivered,1
393,7693,10036,2025-09-10,1063,33,Delayed,2
394,19603,8246,2023-03-23,946,55,Delivered,2
398,25641,10873,2024-12-08,1231,54,Delivered,3
402,15110,11885,2024-03-22,1165,56,Delivered,4
409,51764,18347,2023-12-11,1026,43,Delivered,2
410,37832,18645,2024-12-24,1082,34,Delivered,2
413,14518,14007,2025-07-12,804,21,Delivered,1
414,4471,19835,2025-01-02,156,64,Delivered,2
415,53851,14888,2023-08-11,823,57,Delivered,3
416,25212,15549,2023-03-25,928,54,Delivered,1
419,52588,7383,2025-09-02,1188,40,Cancelled,3
420,41561,13634,2023-10-24,1469,21,Delivered,3
422,35244,8430,2024-09-04,550,42,Delivered,1
423,53941,7813,2025-04-16,869,34,Delivered,1
429,37856,10811,2023-10-25,1275,42,Delivered,2
431,50306,7129,2025-07-28,632,21,Delivered,1
432,29803,5269,2025-02-06,654,44,Delivered,2
434,24615,762,2023-03-26,1030,39,Delivered,4
435,41513,6806,2023-04-06,901,48,Delivered,1
436,14741,4619,2023-11-04,1084,68,Delayed,4
437,1781,19536,2023-03-17,1137,23,Delivered,3
438,19538,3123,2025-02-18,299,55,Delivered,2
442,30676,10541,2024-12-11,478,40,Delayed,1
443,30321,11170,2025-03-24,369,27,Delivered,4
449,36390,19,2023-09-11,152,26,Delivered,1
450,24911,6800,2024-09-02,1388,40,Delivered,2
452,7842,1551,2024-08-26,1182,66,Cancelled,2
453,6255,19775,2023-10-09,661,52,Delivered,4
455,16024,18673,2024-10-22,275,69,Delivered,1
456,42302,9346,2024-09-30,704,28,Delivered,3
462,6860,11526,2025-08-26,1055,22,Delivered,2
466,15693,13908,2023-11-25,338,53,Delayed,1
469,6881,3947,2023-12-29,712,32,Delivered,4
471,7501,1633,2024-06-17,661,30,Delayed,1
473,4427,19737,2025-08-11,1296,65,Delivered,1
474,27162,13723,2024-11-18,568,43,Cancelled,3
476,35670,16614,2025-08-12,1028,57,Delivered,3
482,37112,4319,2023-03-16,872,56,Delivered,3
483,38803,1985,2023-02-11,1428,33,Delivered,1
486,40886,4646,2023-06-16,546,20,Delivered,4
487,24615,15159,2024-09-28,1359,32,Delivered,3
490,501,11780,2023-08-12,1392,62,Delivered,1
491,13229,19699,2024-01-09,1300,45,Delayed,2
493,53040,11381,2025-01-05,176,59,Delivered,1
494,48519,10548,2024-10-19,807,33,Delivered,2
500,50317,4820,2023-10-19,418,43,Delivered,4
501,750,14819,2025-02-18,179,36,Delayed,3
507,43988,5876,2023-09-12,266,20,Delivered,4
509,16352,4245,2025-06-06,1151,59,Delivered,1
510,24475,898,2023-06-15,449,41,Delivered,3
511,19102,9763,2025-07-17,858,40,Delivered,1
513,35192,6601,2023-01-27,1063,59,Delivered,4
514,23812,3212,2024-12-24,213,59,Delivered,2
515,20770,10016,2024-06-15,1370,20,Delivered,4
516,5406,2433,2025-07-29,774,26,Delivered,4
518,47398,704,2025-06-21,708,26,Delivered,4
520,39827,10671,2025-02-24,404,65,Delivered,4
523,7529,2220,2023-08-28,1462,37,Cancelled,4
524,29350,15233,2023-07-29,816,55,Delivered,2
525,1739,3591,2025-04-27,492,25,Delivered,4
526,40961,11114,2024-02-24,1229,36,Delivered,2
530,4705,17106,2023-11-28,634,62,Delivered,3
532,2390,18601,2025-08-15,1445,66,Delayed,2
533,2801,13645,2024-01-05,914,36,Delivered,1
535,4674,15786,2025-05-20,334,67,Delayed,2
538,9678,18729,2024-12-24,510,29,Delivered,1
540,1334,2791,2025-07-21,830,37,Cancelled,1
546,46316,11332,2023-08-29,328,69,Delivered,4
547,34850,2930,2025-03-22,267,57,Delivered,4
548,373,18210,2023-10-06,1487,66,Cancelled,1
549,52711,3685,2024-08-19,1323,47,Delivered,3
550,49128,3691,2023-11-03,764,27,Delivered,1
555,11900,17390,2023-09-03,1334,62,Delivered,1
556,24650,16669,2023-04-04,507,66,Cancelled,3
558,24257,6465,2024-06-22,321,31,Delivered,3
559,44070,11302,2023-10-12,1475,43,Delivered,1
560,48002,18795,2023-05-20,613,63,Delivered,4
561,35759,19227,2024-11-29,551,61,Delivered,4
562,4184,8867,2025-08-31,867,31,Delivered,4
563,43159,18555,2025-04-18,808,25,Delivered,1
564,47710,1887,2025-01-09,1194,40,Delivered,2
566,31097,5224,2024-01-20,840,54,Delivered,3
567,41149,10205,2024-08-29,728,68,Delivered,1
569,10813,18093,2023-12-09,964,38,Delivered,1
570,11006,19657,2023-07-09,314,21,Delivered,3
573,24030,7789,2025-08-07,447,64,Delivered,4
574,44443,3192,2023-11-12,1247,62,Delivered,3
576,56097,5569,2024-05-28,1251,33,Delivered,1
578,15064,1101,2024-12-30,205,40,Delivered,2
581,1982,12871,2024-03-08,217,51,Delivered,4
582,19148,4336,2024-10-12,753,27,Delayed,2
584,20095,9786,2023-04-26,1178,27,Delivered,4
588,21238,12591,2023-04-10,863,64,Delivered,3
591,13646,5049,2023-11-21,324,44,Delayed,1
593,28030,15018,2025-09-26,1030,42,Delivered,3
594,28892,5706,2023-04-06,194,58,Delayed,2
595,11134,8152,2023-10-14,571,64,Cancelled,1
601,3439,4264,2023-09-04,202,37,Delivered,4
604,12445,14871,2024-01-18,704,59,Delivered,2
607,54532,1222,2023-05-21,208,47,Delayed,1
610,19573,9557,2025-02-10,1269,66,Cancelled,3
611,2816,19316,2025-03-28,1331,45,Delivered,2
615,32814,16910,2024-10-29,757,48,Delivered,3
621,46025,6869,2025-04-21,185,61,Delivered,2
622,28970,18416,2025-01-26,1144,41,Delivered,1
625,34628,16332,2024-02-29,1384,24,Delivered,1
627,37021,17803,2025-05-17,1294,54,Delivered,1
628,31844,5961,2023-01-12,1012,42,Delivered,2
629,47745,2702,2024-07-14,971,31,Delivered,3
634,27008,16651,2023-04-20,1329,42,Delivered,3
638,54851,6526,2023-04-06,388,24,Delayed,4
644,52445,5220,2024-05-04,223,63,Delivered,3
649,49637,8558,2023-07-20,1264,48,Delayed,1
651,35475,16821,2023-02-06,1116,52,Delivered,1
653,34916,7448,2025-04-15,691,58,Cancelled,4
656,42956,9890,2023-12-27,956,59,Delivered,4
660,52157,15624,2023-12-22,1195,34,Delivered,1
661,14472,5423,2023-11-08,1351,65,Delivered,2
665,32433,16094,2024-05-06,338,58,Delivered,2
666,24764,18844,2024-06-22,447,57,Delivered,3
668,8855,8295,2024-09-19,1444,37,Delivered,2
669,32501,14306,2023-01-24,1333,62,Cancelled,1
672,13230,14385,2025-07-10,1251,54,Cancelled,4
673,54478,7976,2024-05-25,1000,51,Delivered,1
675,16472,17692,2023-06-28,206,60,Cancelled,3
676,21318,10774,2024-06-04,306,36,Cancelled,2
678,33063,15667,2025-04-06,1269,63,Delivered,1
679,16855,6349,2024-08-03,1309,41,Delivered,4
684,51545,843,2024-08-07,668,56,Delivered,1
690,29378,1993,2025-09-09,786,55,Cancelled,1
693,50674,7126,2024-05-16,978,58,Delivered,2
694,1265,11296,2024-05-23,1364,68,Delivered,3
695,12922,13684,2024-05-19,770,46,Delivered,1
696,35773,8124,2024-05-04,394,27,Delivered,2
698,51608,10162,2024-11-03,1319,61,Delivered,2
700,226,18078,2023-06-28,609,35,Cancelled,3
702,54291,6809,2025-07-28,1136,29,Delivered,2
703,10375,18008,2024-07-19,1339,38,Delivered,3
705,15117,15764,2025-01-10,845,36,Delivered,2
706,28347,14292,2025-03-01,1104,30,Delivered,1
708,23180,1902,2025-07-04,942,38,Delivered,4
710,45402,10786,2024-10-27,1390,27,Delivered,4
712,35463,8482,2023-05-30,1214,32,Delivered,2
714,29597,496,2025-01-12,1287,30,Delayed,4
720,46257,1567,2023-01-19,347,24,Delivered,1
721,51085,14787,2023-12-17,1452,20,Delivered,4
722,27669,8062,2023-02-19,626,42,Delivered,3
723,13025,5092,2024-01-23,448,45,Delivered,3
729,38472,13152,2023-07-01,915,45,Cancelled,1
734,6447,14041,2023-06-01,349,46,Delivered,1
735,51890,16319,2024-01-05,1439,41,Delivered,3
738,29664,4155,2023-10-03,562,53,Delivered,3
739,54503,12637,2025-03-10,1057,37,Delivered,3
740,46131,2379,2024-09-26,1257,43,Delivered,1
741,54651,3313,2024-02-23,1389,51,Delivered,1
745,55458,14627,2023-03-06,537,36,Delivered,2
748,38143,11163,2023-09-17,210,25,Delivered,1
749,30488,19645,2023-07-14,1131,49,Delivered,2
751,43180,19627,2025-01-04,807,66,Delivered,4
752,19302,18907,2023-09-19,236,33,Delivered,1
754,38687,19455,2024-08-12,190,40,Delivered,1
757,48520,6389,2023-10-26,174,20,Delivered,4
760,45043,2481,2025-02-07,357,65,Delivered,4
765,27436,4671,2023-06-03,215,37,Delivered,2
766,38124,6110,2023-03-13,956,38,Delivered,1
769,1836,16424,2024-10-17,1226,58,Delivered,4
774,37010,10906,2024-05-24,463,34,Delivered,2
776,27960,12698,2023-09-14,290,36,Delivered,4
777,41886,13874,2025-06-07,943,35,Delivered,1
782,38163,1129,2023-05-03,868,63,Cancelled,1
783,55491,14478,2024-03-07,645,61,Delivered,3
784,29607,2822,2023-10-22,1058,57,Delivered,4
785,51397,7195,2023-11-15,1267,50,Delivered,1
786,48180,11504,2023-02-25,1226,37,Delivered,2
787,25482,931,2023-10-18,623,20,Delivered,1
788,49596,18098,2023-01-02,386,42,Delivered,1
791,14822,5655,2024-01-07,1155,30,Delivered,3
793,33263,15826,2023-09-07,431,37,Delivered,1
794,39878,15047,2023-02-14,578,27,Delivered,2
796,22752,1817,2025-01-12,730,66,Delivered,1
797,10641,14562,2023-05-05,1472,61,Delivered,3
799,18300,17815,2023-03-19,610,60,Delivered,3
801,2801,3333,2023-08-14,1139,23,Delivered,2
802,30435,3638,2024-02-17,1478,66,Delivered,4
803,12393,16415,2023-02-10,498,69,Delayed,4
806,35284,2195,2024-05-13,793,52,Delivered,1
808,26975,3130,2024-02-04,1412,24,Delivered,1
809,11017,5781,2023-08-02,736,32,Cancelled,4
810,299,17113,2025-02-06,591,46,Delivered,3
813,4021,12765,2025-08-13,1034,47,Cancelled,1
814,11235,6052,2025-08-13,734,48,Delivered,2
815,2024,9175,2023-01-24,1103,37,Delivered,2
817,25348,3327,2025-05-29,1451,38,Delivered,3
819,6228,15979,2024-02-07,795,48,Delayed,2
820,883,7520,2024-03-14,1207,44,Delivered,3
823,16133,8623,2023-05-23,769,61,Delivered,4
826,28764,276,2024-03-10,699,43,Delivered,4
828,54101,10669,2023-10-25,254,39,Delivered,4
833,1391,16355,2024-05-11,1217,20,Delivered,3
834,18917,10304,2023-10-04,1178,62,Delivered,1
835,7937,8664,2024-06-10,869,52,Delivered,1
836,14735,1784,2025-03-26,402,58,Delivered,2
844,28495,11369,2025-02-23,913,39,Delivered,2
845,2197,10128,2023-06-11,1327,41,Delivered,4
846,24525,2739,2025-01-26,160,31,Delivered,1
848,47192,7881,2024-07-07,1154,69,Delivered,1
851,10052,14878,2025-04-04,299,35,Delivered,3
853,982,18401,2023-04-03,1246,68,Delivered,3
854,52788,14597,2025-06-13,1169,35,Delivered,1
867,45274,18173,2023-11-18,736,55,Delivered,3
873,4337,4769,2025-03-17,1471,68,Delivered,3
874,37798,446,2025-05-06,992,43,Delivered,4
878,45055,271,2024-03-16,683,29,Delivered,2
884,26122,19840,2024-10-19,499,59,Delivered,4
888,5483,19717,2023-06-29,1290,32,Delivered,4
893,16379,18939,2024-10-01,770,45,Delivered,1
895,8223,19174,2024-11-23,882,40,Delivered,3
900,49491,450,2025-01-09,1445,25,Delivered,1
901,5659,19688,2024-08-22,675,21,Delivered,1
903,48654,11194,2025-08-01,827,66,Delivered,4
909,19266,14863,2025-08-17,1420,60,Delivered,1
911,37334,16631,2024-10-22,1063,21,Delivered,4
913,24598,8950,2024-02-12,448,69,Delivered,1
916,19406,11554,2023-09-28,1240,47,Delivered,2
917,3131,13784,2024-07-10,780,69,Cancelled,4
920,15183,17723,2023-06-12,718,67,Delivered,4
921,27670,4513,2023-10-15,390,65,Delivered,3
924,31122,8789,2024-02-02,618,66,Delivered,4
928,37005,12571,2024-03-09,1491,69,Delivered,4
929,46501,14917,2023-08-30,1327,39,Delivered,2
932,21506,11991,2024-03-14,1214,68,Delivered,2
934,9992,9733,2025-01-14,642,69,Delivered,1
937,36552,19212,2025-02-14,823,67,Delivered,4
939,13425,1814,2025-08-28,1047,42,Delivered,3
943,48576,3203,2023-06-17,973,28,Delivered,1
944,13840,5360,2025-01-10,235,48,Delivered,2
945,6233,10216,2024-05-06,395,61,Delivered,4
946,32708,18211,2024-04-15,1350,63,Delivered,2
949,35801,18862,2025-08-04,1160,37,Delivered,1
950,7504,17960,2023-02-18,752,44,Delivered,3
952,6189,9029,2024-02-20,1086,29,Delivered,1
956,11235,10214,2023-02-25,883,40,Delivered,3
957,7475,12335,2024-10-28,1050,42,Delivered,2
959,9168,18242,2023-10-21,262,42,Delivered,3
962,54324,10461,2024-03-14,191,48,Delivered,4
963,13202,4601,2024-10-30,153,53,Delivered,1
964,12491,6533,2023-12-02,917,51,Delivered,4
968,48576,17126,2023-07-04,276,63,Cancelled,1
971,46741,9341,2025-04-19,1188,54,Delivered,3
975,48051,5026,2023-11-14,461,43,Delivered,4
977,7492,12097,2025-03-05,603,21,Delivered,1
980,18901,4293,2025-01-16,1340,56,Delivered,3
982,49296,13537,2023-11-15,692,45,Delivered,4
983,23628,10029,2023-06-03,262,58,Cancelled,3
984,20155,8278,2023-03-24,937,53,Cancelled,4
985,22770,15295,2023-02-10,589,32,Delivered,3
988,41536,17570,2025-05-07,1304,59,Delivered,2
991,44288,18026,2025-07-20,1311,64,Delivered,1
994,43423,12024,2024-12-25,957,69,Delivered,3
997,5771,3643,2024-08-04,1143,53,Delivered,3
998,7923,569,2023-05-24,1190,64,Delivered,3
1000,21956,9881,2023-07-18,573,51,Delivered,1
1002,42436,12302,2023-05-29,361,69,Delayed,3
1003,48003,14473,2023-05-06,1363,34,Delivered,3
1006,39815,19576,2025-05-19,579,41,Delivered,4
1008,35966,17010,2024-10-19,696,32,Delivered,4
1009,35079,4632,2023-06-24,965,29,Delivered,3
1010,37891,4802,2024-02-17,1280,27,Delivered,1
1012,29791,7132,2024-11-09,1056,35,Delivered,3
1013,25054,9823,2023-09-17,389,23,Delivered,1
1019,15851,4173,2024-11-13,1046,49,Delivered,2
1021,53910,15542,2023-03-03,481,21,Delivered,4
1026,56072,2242,2025-03-24,442,31,Delivered,3
1031,35742,6865,2024-01-27,1063,42,Delivered,3
1032,16265,19088,2024-05-18,1168,41,Delivered,2
1033,54132,17125,2025-01-02,1441,22,Delivered,2
1036,27885,19733,2024-04-20,772,64,Delivered,3
1038,22759,19704,2023-08-12,1290,56,Delivered,1
1039,18569,18925,2025-03-08,662,23,Delivered,3
1049,24217,10236,2023-03-05,250,47,Delivered,4
1055,46863,17060,2024-06-07,922,35,Delivered,2
1058,19257,6448,2024-12-08,338,39,Delayed,3
1059,29048,2032,2023-03-19,479,42,Delivered,2
1060,17857,2699,2024-05-04,822,21,Delivered,3
1061,17173,15534,2023-06-07,520,39,Delivered,1
1062,840,2546,2024-03-15,1310,41,Delivered,3
1066,11635,8185,2025-05-21,951,51,Delivered,2
1068,39095,18219,2024-11-21,459,37,Delivered,3
1070,8921,19890,2023-02-20,1147,49,Delivered,4
1072,56025,7321,2024-09-25,1168,54,Delivered,3
1074,8813,2594,2023-04-25,416,30,Cancelled,1
1076,1881,10096,2023-10-22,741,29,Delivered,1
1080,35690,2088,2023-07-21,1366,43,Delivered,2
1082,41517,16562,2024-10-20,512,25,Delivered,1
1087,20903,9317,2023-07-01,541,58,Delivered,2
1089,35331,1099,2023-12-16,355,48,Delayed,3
1090,26153,8797,2025-07-14,1022,48,Delivered,3
1098,36747,9977,2023-11-29,679,30,Delivered,4
1099,48903,15058,2023-09-03,294,30,Delivered,2
1101,50512,12677,2023-12-12,783,55,Delivered,1
1102,6718,2383,2023-03-13,1104,31,Delivered,4
1107,43112,1795,2025-07-18,710,40,Delivered,4
1115,37375,15228,2024-02-24,1246,58,Delivered,1
1119,31538,7136,2023-05-02,678,50,Delivered,2
1120,55732,11880,2024-08-04,292,54,Delivered,4
1124,39226,13919,2024-05-19,1092,61,Delivered,3
1125,44249,2672,2024-09-10,1492,31,Delivered,2
1126,18672,503,2024-12-10,263,46,Delayed,1
1127,42126,3616,2024-04-07,200,49,Delivered,4
1128,45190,17267,2023-12-05,722,32,Delivered,3
1136,33992,7448,2023-11-09,548,39,Delivered,3
1139,35777,13054,2025-03-01,1063,54,Delayed,2
1140,31886,7214,2023-05-13,523,67,Delayed,1
1143,13923,16446,2024-09-11,600,44,Delivered,4
1144,41038,652,2023-08-19,285,40,Delivered,2
1147,12075,15479,2024-12-10,1176,21,Delayed,1
1148,15610,11542,2023-03-30,461,51,Delivered,3
1151,704,1953,2024-01-06,1338,24,Delayed,4
1157,21086,4348,2023-04-21,791,47,Delivered,2
1158,23081,9748,2023-05-30,373,31,Delivered,1
1159,17619,15937,2025-08-10,1262,23,Delivered,4
1160,55305,18542,2024-04-03,1297,48,Delivered,2
1161,38813,15155,2024-07-27,1441,28,Delivered,2
1162,20152,12055,2024-03-01,1061,68,Delivered,2
1164,38195,14812,2024-03-07,560,65,Delivered,4
1166,11814,3454,2024-06-18,1221,29,Cancelled,2
1167,36903,5600,2023-01-21,753,42,Cancelled,3
1168,4878,6722,2024-03-02,811,60,Delivered,2
1169,28140,10586,2023-08-03,1009,51,Delivered,3
1170,8967,14209,2025-06-07,1427,48,Delivered,1
1171,20119,10677,2023-05-31,486,58,Delivered,3
1175,47092,15711,2023-11-28,330,40,Delivered,2
1178,5743,19807,2025-02-14,1075,47,Delivered,3
1179,4848,4199,2025-04-07,1461,30,Delivered,3
1184,6822,19228,2023-10-03,1040,45,Delayed,2
1185,25462,4621,2024-09-29,374,26,Delivered,3
1187,25766,9137,2023-10-26,961,44,Delivered,1
1190,2483,172,2024-04-15,765,56,Delivered,3
1192,48934,476,2023-12-15,1435,38,Delivered,2
1194,49465,1381,2025-01-20,324,67,Cancelled,3
1199,33720,17354,2025-06-29,1108,23,Delivered,4
1200,1016,1746,2025-07-14,1252,68,Delivered,1
1201,42456,6937,2023-05-12,382,59,Delivered,3
1202,17583,5577,2025-09-13,330,55,Delivered,4
1203,35690,12631,2024-09-05,549,33,Delivered,1
1208,28514,18159,2024-10-04,1281,41,Delivered,4
1209,46010,5999,2025-04-24,1443,58,Delivered,2
1211,7168,7675,2024-08-16,275,56,Delivered,3
1213,50820,11192,2023-02-04,704,44,Delivered,3
1214,51937,15401,2023-04-27,1027,40,Delayed,2
1215,9696,4566,2025-01-11,486,42,Cancelled,2
1217,38811,11713,2025-01-20,1432,22,Delivered,3
1219,19444,17286,2023-03-18,608,36,Delivered,1
1222,2335,2402,2024-01-07,232,44,Delivered,3
1223,27970,8683,2023-05-30,463,24,Delivered,1
